magnitude,longitude,latitude
7.4,126.2965,1.1171
7.3,167.5616,-15.3139
7.5,-175.5601,-18.6678
7.0,116.2537,6.8201
7.6,142.1836,40.9984
7.0,-139.5412,60.3127
7.6,-61.8164,-60.1875
7.4,126.6902,7.2866
7.8,160.7206,53.1426
7.4,160.1901,53.1969
7.5,-61.9221,-60.3187
8.8,160.2395,52.4948
7.0,157.0388,-57.605
7.4,160.6816,52.8301
7.3,-160.4689,54.5652
7.4,-68.1019,-56.8094
7.0,-174.0718,-20.3036
7.7,95.9363,22.011
7.6,-82.395,17.6506
7.1,87.3781,28.6036
7.3,168.0842,-17.6914
7.0,-125.021666666667,40.374
7.0,160.1331,52.9308
7.1,131.5021,31.7599
7.4,-67.8404,-23.0791
7.1,123.1503,6.0838
7.2,-74.454,-15.8277
7.4,121.5976,23.8356
7.0,78.6538,41.2555
7.5,137.271,37.4874
7.1,169.3089,-20.6152
7.6,126.4161,8.5266
7.1,129.5466,-6.416
7.1,116.5211,-6.7888
7.2,-160.762,54.3926
7.2,-177.1067,-22.9936
7.1,170.5603,-23.0421
7.7,170.7423,-23.2063
7.6,-174.4925,-15.6278
7.1,98.5112,-0.8082
7.1,-177.8386,-29.9574
7.0,112.0478,-6.0413
7.0,143.1658,-4.3229
7.0,-176.2047,-30.1741
7.5,37.1962,38.0106
7.8,37.0143,37.2256
7.0,127.0221,2.7306
7.6,130.009,-7.0586
7.0,166.8791,-14.9467
7.0,159.6033,-9.8198
7.0,-178.3453,-20.1112
7.3,-172.1471,-19.2881
7.0,178.3427,-26.0901
7.6,-102.9561,18.4552
7.0,170.2666,-21.1909
7.6,146.5038,-6.2944
7.0,120.8181,17.5207
7.2,-70.2924,-14.9076
7.0,170.3744,-22.586
7.3,141.5793,37.7132
7.3,127.5773,-7.5482
7.3,122.2274,-7.6033
7.5,-76.8126,-4.4667
7.3,174.8958,-21.1265
7.0,-99.753,16.9465
7.1,-24.8743,-60.2845
7.2,-73.4822,18.4335
8.1,-25.2637,-58.3753
7.5,-25.0316,-57.5674
7.1,126.7151,6.4748
8.2,-157.8876,55.3635
7.3,98.2513,34.5983
7.0,141.6477,38.4515
8.1,-177.2794,-29.7228
7.4,-177.8398,-29.6768
7.3,179.4576,-37.4787
7.1,141.7751,37.7265
7.7,171.6566,-23.0511
7.0,127.5145,4.9931
7.0,26.7838,37.8973
7.6,-159.6258,54.602
7.8,-158.596,55.0715
7.0,147.7704,-7.836
7.4,-96.0077,15.8861
7.4,-177.8571,-33.2927
7.5,157.6955,48.9638
7.0,148.959,45.6161
7.7,-78.756,19.4193
7.1,126.4156,1.6213
7.2,128.034,-0.5858
7.1,-117.5993333,35.7695
7.3,129.1692,-6.4078
7.3,-178.0995,-30.6441
8.0,-75.2697,-5.8119
7.6,152.5967,-4.051
7.1,146.4494,-6.9746
7.0,-70.1546,-14.7131
7.5,-77.0505,-2.1862
7.0,126.9209,5.8983
7.3,164.6993,55.0999
7.1,-26.3856,-58.5446
7.5,169.4266,-21.9496
7.1,-149.9552,61.3464
7.0,151.2046,-5.7012
7.5,119.8462,-0.2559
7.9,179.3502,-18.4743
7.1,170.1262,-22.0295
7.1,-70.8284,-11.0355
7.3,-62.9019,10.7731
8.2,-178.153,-18.1125
7.5,142.7536,-6.0699
7.2,-97.9787,16.3855
7.9,-149.1658,56.0039
7.1,-74.7092,-15.7675
7.5,-83.52,17.4825
7.0,168.6715,-21.3246
7.3,45.9592,34.9109
7.1,-98.4887,18.5499
8.2,-93.8993,15.0222
7.7,168.857,54.4434
7.9,155.1718,-6.2464
7.3,122.6171,4.4782
7.6,-73.9413,-43.4064
7.9,153.5216,-4.5049
7.8,161.3273,-10.6812
7.8,173.054,-42.7373
7.0,179.1461,-37.3586
7.1,-17.8255,-0.0456
7.4,-31.8766,-55.2852
7.2,173.1167,-22.4765
7.7,145.5073,18.5429
7.2,-26.9353,-56.2409
7.0,167.3786,-16.0429
7.8,-79.9218,0.3819
7.0,130.7543,32.7906
7.8,94.3299,-4.9521
7.2,158.5463,53.9776
7.1,-153.3392,59.6204
7.2,72.7797,38.2107
7.1,85.0913,-47.6165
7.6,-71.0184,-10.0598
7.6,-70.9437,-10.5372
7.5,70.3676,36.5244
7.1,167.3028,-14.8595
7.0,-71.4262,-31.5622
8.3,-71.6744,-31.5729
7.0,138.5277,-2.6286
7.0,165.1409,-10.4012
7.0,-17.1605,-35.3639
7.8,140.4931,27.8386
7.3,86.0655,27.8087
7.1,154.5567,-7.2175
7.5,151.8751,-5.4624
7.8,84.7314,28.2305
7.5,152.5623,-4.7294
7.0,122.5348,-7.2968
7.1,-31.9016,52.6487
7.1,126.5217,1.8929
7.1,-177.7587,-19.6903
7.3,-88.1225,12.5262
7.0,-110.8112,-32.1082
7.9,178.7352,51.8486
7.5,155.0241,-6.7547
7.2,-100.9723,17.397
7.4,162.0511,-11.4633
7.6,162.1481,-11.2701
7.1,155.0485,-6.5858
7.7,-70.4931,-20.5709
8.2,-70.7691,-19.6097
7.0,-55.0033,-53.9451
7.7,-46.4011,-60.2738
7.1,144.6611,37.1557
7.1,124.1167,9.8796
7.1,-74.5112,-15.8385
7.7,65.5009,26.951
7.0,-175.2297,51.537
7.3,-25.07,-60.857
7.3,153.927,-3.917
8.3,153.221,54.892
7.4,-177.232,-23.009
7.2,150.788,46.221
7.7,61.996,28.033
7.0,138.476,-3.517
7.1,166.018,-10.928
7.0,165.588,-10.499
7.1,164.882,-11.183
8.0,165.114,-10.799
7.5,-134.8591,55.228
7.1,129.825,-6.533
7.3,143.949,37.89
7.4,-91.895,13.988
7.8,-132.101,52.788
7.3,-76.362,1.929
7.6,-85.315,10.085
7.6,126.638,10.811
7.3,-88.59,12.139
7.7,145.064,49.8
7.0,-113.104,28.696
8.2,92.463,0.802
8.6,93.063,2.327
7.1,-72.217,-35.2
7.4,-98.231,16.493
7.1,167.133,-17.827
7.2,93.21,2.433
7.1,146.809,-7.551
7.1,43.508,38.721
