STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,,ADJUSTMENT,,REF_AREA,,SECTOR,,COUNTERPART_SECTOR,,TRANSACTION,,INSTR_ASSET,,ACTIVITY,,EXPENDITURE,,UNIT_MEASURE,,PRICE_BASE,,TRANSFORMATION,,TABLE_IDENTIFIER,,TIME_PERIOD,,OBS_VALUE,,REF_YEAR_PRICE,,BASE_PER,,CONF_STATUS,,DECIMALS,,OBS_STATUS,,UNIT_MULT,,CURRENCY,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),,I,Q,,Y,,KOR,,S1,,S1,,P6,,_Z,,_Z,,_Z,,PC,,L,,GCM,,T0102,,2020-Q1,,-1.038944547,,2019-Q4,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),,I,Q,,Y,,KOR,,S1,,S1,,P51G,,_Z,,_T,,_Z,,PC,,L,,GCM,,T0102,,2020-Q1,,0.859126622,,2019-Q4,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),,I,Q,,Y,,KOR,,S1,,S1,,P7,,_Z,,_Z,,_Z,,PC,,L,,GCM,,T0102,,2020-Q1,,-2.181659097,,2019-Q4,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),,I,Q,,Y,,KOR,,S1M,,S1,,P3,,_Z,,_Z,,_T,,PC,,L,,GCM,,T0102,,2020-Q1,,-6.272997731,,2019-Q4,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),,I,Q,,Y,,KOR,,S13,,S1,,P3,,_Z,,_Z,,_T,,PC,,L,,GCM,,T0102,,2020-Q1,,1.659038242,,2019-Q4,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),,I,Q,,Y,,KOR,,S13,,S1,,P3,,_Z,,_Z,,_T,,PC,,L,,GCM,,T0102,,2020-Q2,,2.61095803,,2019-Q4,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),,I,Q,,Y,,KOR,,S1M,,S1,,P3,,_Z,,_Z,,_T,,PC,,L,,GCM,,T0102,,2020-Q2,,-5.682414663,,2019-Q4,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),,I,Q,,Y,,KOR,,S1,,S1,,P7,,_Z,,_Z,,_Z,,PC,,L,,GCM,,T0102,,2020-Q2,,-7.859573452,,2019-Q4,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),,I,Q,,Y,,KOR,,S1,,S1,,P51G,,_Z,,_T,,_Z,,PC,,L,,GCM,,T0102,,2020-Q2,,0.600473435,,2019-Q4,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),,I,Q,,Y,,KOR,,S1,,S1,,P6,,_Z,,_Z,,_Z,,PC,,L,,GCM,,T0102,,2020-Q2,,-15.120615258,,2019-Q4,,,,F,,1,,A,,0,,_Z,
