system:index,NDVI_mean,NTL_mean,NTL_sum,Precip_mean,date,month,year,.geo
0,0.19065531800579963,1.8507334019159978,73686.40606393197,128.01889833831822,2019-01-01,1,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.2857226348522268,1.4201207582068076,56549.4759086437,64.53928960350837,2019-02-01,2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.3307398735260056,1.4317637971435238,57026.45019522796,65.30621550320002,2019-03-01,3,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.4036562758489249,1.5674324450866213,62424.220337561266,71.45500942619242,2019-04-01,4,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.4998705583982996,1.5430721347031644,61468.066691686,51.7078895684722,2019-05-01,5,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.46568821335392285,1.519778394212878,60533.303873958095,51.66936667854723,2019-06-01,6,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.42604267589897143,1.516036757378971,60393.048350425204,21.16111481094742,2019-07-01,7,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.39537043929105803,1.4723877944853012,58649.236155057595,16.309528374304424,2019-08-01,8,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.37755930430520085,1.5038714824423176,59910.335692182816,15.821104692565617,2019-09-01,9,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.3604110212185255,1.5444287023705605,61508.92625359426,30.95852331537363,2019-10-01,10,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.345311423172639,1.5222840761763057,60627.16019858427,42.632696735547434,2019-11-01,11,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.3138700313263628,1.7642521586211,70273.74733128298,95.65642719533925,2019-12-01,12,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.23854491164186392,1.8561982392702505,73915.67008598067,62.006437158175736,2020-01-01,1,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.24996815294436292,1.8752288408692939,74685.20233713266,69.03311013292185,2020-02-01,2,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.32333892314463614,1.3819642632741858,55037.84861470819,69.91620826329842,2020-03-01,3,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.4316737207885169,1.4406503021817183,57384.84722668352,56.86054521365584,2020-04-01,4,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.49789950504690245,1.5452115965150932,61541.87547245833,62.22657103661162,2020-05-01,5,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.4723847602287483,1.5210613058225675,60586.591826424476,41.82195509704048,2020-06-01,6,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.42249087565262516,1.5342869997744168,61112.9556399206,14.519491601535602,2020-07-01,7,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.3895090431370434,1.456990233357716,58026.64726136181,11.638387896858106,2020-08-01,8,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.36431393694504866,1.4132163362582133,56293.34461730428,15.407238579040751,2020-09-01,9,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.3524091090258899,1.4792888264166462,58930.53339834768,31.559156212845718,2020-10-01,10,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.33764865329573907,1.6439701117165064,65472.10252811851,42.25361945996691,2020-11-01,11,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.3180834897045886,1.567219805446873,62414.86063376287,53.13123677111885,2020-12-01,12,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.2601701056359341,1.9726349451280987,78564.24799696653,107.96234851123398,2021-01-01,1,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.28689235625376786,1.8669357101110724,74361.096281985,39.54354276703435,2021-02-01,2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.3123657941203871,1.6543529311828065,65893.36382340272,73.93197044797792,2021-03-01,3,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.42837542789596295,1.5225788888355474,60630.7034957844,48.06288489821707,2021-04-01,4,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.4726342540729908,1.6678471027074295,66443.09114458626,35.359621035690765,2021-05-01,5,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.4381476636475569,1.6848556559749241,67117.28222009428,36.881962525372494,2021-06-01,6,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.39973967530722326,1.70180841833326,67788.72869197557,18.08861483072014,2021-07-01,7,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.3825670631898477,1.6487760766505228,65669.48383843731,18.999433858729397,2021-08-01,8,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.3696736143149135,1.6360927928403204,65177.87550700204,23.323231328880368,2021-09-01,9,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.3546603776114657,1.6611046953490123,66166.24265654421,30.80267787408204,2021-10-01,10,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.34485207452307953,1.7561326948185032,69944.85070564393,55.380923027279664,2021-11-01,11,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.2892756279468795,2.011740499719651,80128.72069963554,81.33998927276158,2021-12-01,12,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0.22370954663420548,2.4203634147071926,96387.85973894916,87.00133705229577,2022-01-01,1,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0.209866918016465,1.8808594524757267,74916.77838465985,56.0248149633586,2022-02-01,2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0.24059142345768444,2.0235739563334687,80591.31664881698,77.09885869953844,2022-03-01,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0.36880315766338123,1.8193155235801788,72464.30760581112,47.310067018924016,2022-04-01,4,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0.4769587451008301,1.8822624203567973,74989.32744559355,51.429211659839126,2022-05-01,5,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0.46921269556655926,1.8589483073450723,74049.26668485664,53.393455780658684,2022-06-01,6,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0.4160030363199668,1.8910659458479064,75317.60438552192,12.65386058522357,2022-07-01,7,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0.38741556944524647,1.6393934081035002,65292.1791254819,14.770411336216084,2022-08-01,8,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0.37072858100473555,1.778934558776611,70863.49538574058,20.919826483277635,2022-09-01,9,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0.3457286960885156,1.8148409904230287,72271.48754856235,30.736354127263283,2022-10-01,10,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0.3339936420760784,1.7939165066105935,71454.49437504359,56.33602451831225,2022-11-01,11,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,0.3386324184122611,1.9021651577124934,75775.0913314361,39.96040835115971,2022-12-01,12,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0.33193898185593773,2.136067613541889,85087.51419285436,42.241507931780156,2023-01-01,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0.21519403580064508,2.5818844029671437,102843.7862968784,51.64235393866652,2023-02-01,2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0.360632241462944,1.8869555631464565,75136.29877799038,91.48791761804236,2023-03-01,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0.4554784495521957,1.9708830648686482,78507.15897101548,78.38739951756027,2023-04-01,4,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0.5147611988448425,1.9456111956182995,77468.43912517297,75.95332076988363,2023-05-01,5,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0.5048835164042755,2.0657705934552055,82293.45504658297,56.66452435195583,2023-06-01,6,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,0.4382032164858573,1.9738703499092465,78632.60868925235,20.01530594195151,2023-07-01,7,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,0.39804813213057605,1.8837276071639095,75034.52177616,9.362182212907252,2023-08-01,8,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,0.3836042939237726,1.9186758834166515,76429.00164160626,18.377355683165568,2023-09-01,9,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,0.37117562216378036,1.990096627187433,79271.643819565,40.96682386830303,2023-10-01,10,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,0.356571123488558,2.202599001606517,87735.40046896835,108.69457921637263,2023-11-01,11,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,0.3502035437109779,1.8850303165111317,75081.58544152252,72.6848255187189,2023-12-01,12,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
