system:index,NDVI_mean,NTL_mean,Precip_mean,country_na,date,month,year,.geo
0,0.4122257364149973,0.8745971754288828,84.57175911897917,Argentina,2018-01-01,1,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.42815586822765017,0.8636616997231935,47.507908706961,Argentina,2018-02-32,2,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.41187658856358655,0.8651769340758682,40.810421856386704,Argentina,2018-03-60,3,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.38703973864126523,0.9702509248168034,55.08800150141683,Argentina,2018-04-91,4,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.40418498677546905,1.0467749047790695,62.405500204076176,Argentina,2018-05-121,5,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.3529286531314111,0.9178294125412558,20.055619991025427,Argentina,2018-06-152,6,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.3352449464210595,1.0556931492107204,25.465465607960144,Argentina,2018-07-182,7,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.32848510179796236,0.7538897974731711,20.158834158374553,Argentina,2018-08-213,8,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.3576331356576759,0.8604789904033343,42.29896855738416,Argentina,2018-09-244,9,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.38442435403892117,0.9804460490615795,50.16142457936557,Argentina,2018-10-274,10,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.40524871358856296,0.8187281011473565,83.46075418444255,Argentina,2018-11-305,11,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.403642687931613,0.8296715726274646,81.91636549805857,Argentina,2018-12-335,12,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.431211408739801,0.7930473009003799,113.62956067990302,Argentina,2019-01-01,1,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.4467058880109594,0.7689751048403026,54.39815611316303,Argentina,2019-02-32,2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.4390994668952843,0.8361486465440862,75.29840025258684,Argentina,2019-03-60,3,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.4136151284428604,1.0282754999932755,58.50538436177354,Argentina,2019-04-91,4,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.39741479760101134,0.9645853225141942,49.897724738220674,Argentina,2019-05-121,5,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.3691943246178972,1.3357794879870377,32.65277992594493,Argentina,2019-06-152,6,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.3462368735980519,0.8447072636706838,26.045264844526187,Argentina,2019-07-182,7,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.33016985348803946,0.8750508643567346,16.73344565614265,Argentina,2019-08-213,8,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.3336049866290724,0.8845637066202078,16.301222027856394,Argentina,2019-09-244,9,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.36103415358145863,0.9570555160376082,46.44504705653675,Argentina,2019-10-274,10,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.37820022671710535,0.8791526378887498,65.75956191439519,Argentina,2019-11-305,11,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.38377468930405295,0.9164925514581546,66.86181905279761,Argentina,2019-12-335,12,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.4197965966352059,0.8872928430233588,77.41823240377359,Argentina,2020-01-01,1,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.44471159267435,0.8907772663769892,70.04793042371428,Argentina,2020-02-32,2,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.4290444291044447,0.8600785667504286,62.123394914981986,Argentina,2020-03-61,3,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.4039223393217058,0.8527239400893338,45.19825758733438,Argentina,2020-04-92,4,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.37537314969327207,0.8515954026532379,29.606721324543702,Argentina,2020-05-122,5,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.327250791037316,0.9667899813176354,30.993285145360257,Argentina,2020-06-153,6,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.29674477223477547,0.9169697041745382,26.069199429257225,Argentina,2020-07-183,7,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.2978390959272619,0.8399729865487846,15.145002744579156,Argentina,2020-08-214,8,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.30901342943400617,0.8533148552612415,22.403916007984723,Argentina,2020-09-245,9,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.34084969516724156,0.8336235242687863,36.607679944234455,Argentina,2020-10-275,10,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.35788513289777885,0.8364442364593488,52.623830376976585,Argentina,2020-11-306,11,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.3678088995295147,0.8560351340171264,54.199671013991036,Argentina,2020-12-336,12,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0.407859984662464,0.8132152597058713,88.62195169665536,Argentina,2021-01-01,1,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0.4441901193853455,0.8206521746457558,48.97067037256516,Argentina,2021-02-32,2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0.43496251841082506,0.9627607748371374,74.24169801853616,Argentina,2021-03-60,3,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0.4249978115621672,0.854873439346353,57.720109533233504,Argentina,2021-04-91,4,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0.39022456236344166,0.879430047943425,36.195603717547726,Argentina,2021-05-121,5,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0.36629114057043527,0.8910216139148122,23.850166126472047,Argentina,2021-06-152,6,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0.33018940094502114,0.7802046649879668,13.741068225448684,Argentina,2021-07-182,7,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0.32088316240219816,0.9671832752201954,20.32506820897251,Argentina,2021-08-213,8,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0.34425749549803225,0.8548834388426894,33.477631916320554,Argentina,2021-09-244,9,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0.34842419303258454,0.8068006912107786,37.60932188941902,Argentina,2021-10-274,10,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0.3671266336830796,0.8426269374817442,68.01975689220419,Argentina,2021-11-305,11,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,0.38903533381638644,0.9099666698315141,45.90285099714546,Argentina,2021-12-335,12,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0.3924259924873456,1.0071022905903175,75.32970126228874,Argentina,2022-01-01,1,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0.4339450885206445,0.957651306847508,62.68097161531071,Argentina,2022-02-32,2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0.4477128450435226,0.9669022851912971,73.71835259896662,Argentina,2022-03-60,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0.41141772689843975,1.0177364737801602,53.958058659176494,Argentina,2022-04-91,4,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0.3732583951019477,1.0517509785855792,23.6082135998509,Argentina,2022-05-121,5,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0.33238243603779277,0.9636598699302841,20.495098710358462,Argentina,2022-06-152,6,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,0.3073563797669832,1.0414738043952452,28.76269524672539,Argentina,2022-07-182,7,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,0.30544793813065124,0.8567948955770274,22.318373765382443,Argentina,2022-08-213,8,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,0.3116868698166247,0.968381869120219,22.822143305433034,Argentina,2022-09-244,9,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
