system:index,NDVI_mean,NTL_mean,Precip_mean,country_na,date,month,year,.geo
0,0.29109609243928164,0.2838566021493808,97.94054280945149,Australia,2018-01-01,1,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.3183892753856907,0.28516413369592536,69.33286503836297,Australia,2018-02-32,2,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.3356674563655051,0.2511759187204243,52.19244267847678,Australia,2018-03-60,3,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.32378785697528545,0.31102843931453517,13.33286963548832,Australia,2018-04-91,4,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.31454600409049505,0.24409597937519348,18.204619057324436,Australia,2018-05-121,5,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.3215476999780441,0.2026461411063391,20.074054028684643,Australia,2018-06-152,6,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.31655783301573903,0.18661525133858448,15.383857211190275,Australia,2018-07-182,7,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.30292542872306094,0.14994073094105886,18.060687923258097,Australia,2018-08-213,8,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.28388840034655166,0.17735481992004723,8.563958702782736,Australia,2018-09-244,9,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.27611191563279275,0.242513419829848,26.66942466047128,Australia,2018-10-274,10,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.26611781294976583,0.2737955406039294,37.48615284519989,Australia,2018-11-305,11,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.26485616737253104,0.21172122361697038,42.37167097238606,Australia,2018-12-335,12,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.2663675040265263,0.18549071611007875,52.219587043653156,Australia,2019-01-01,1,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.28100600929013425,0.17469842589210663,37.26947127587611,Australia,2019-02-32,2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.2916655802303989,0.19946449812879413,57.40988753284714,Australia,2019-03-60,3,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.31172815708381046,0.23223794580756169,26.002752531726543,Australia,2019-04-91,4,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
