system:index,NDVI_mean,NTL_mean,Precip_mean,country_na,date,month,year,.geo
0,0.5511725433826015,5.730132369656978,142.85914808903738,Belgium,2018-01-01,1,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.5075197078360831,5.461699877386073,42.39287620009801,Belgium,2018-02-32,2,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.5493793022962398,5.84836365968508,72.95942031928269,Belgium,2018-03-60,3,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.6610232858715817,5.395775862004213,63.04098273105454,Belgium,2018-04-91,4,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.693798560200101,5.493297211163552,101.00575431763576,Belgium,2018-05-121,5,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.6845949157889378,5.6448970666204,75.37403350227245,Belgium,2018-06-152,6,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.6178780128168594,5.548182573725618,42.26526888900588,Belgium,2018-07-182,7,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.6373084858235513,5.291883622984741,68.44137255904913,Belgium,2018-08-213,8,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.6533299857142568,5.067519062852856,30.685043395484367,Belgium,2018-09-244,9,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.6267968106868158,5.273151488714051,36.35753074772995,Belgium,2018-10-274,10,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.6200634484386807,5.458218827136088,51.43765623657876,Belgium,2018-11-305,11,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.5957610363491672,4.787968731351292,118.76933990533314,Belgium,2018-12-335,12,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.43565836831833943,5.347852925336099,38.55226972505598,Belgium,2019-01-01,1,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.5639634724316973,5.313708335174149,45.74518751818252,Belgium,2019-02-32,2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.5952046683316753,5.222101402863525,97.38267404024367,Belgium,2019-03-60,3,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.6555434399519652,5.4945339401304585,49.7726100585037,Belgium,2019-04-91,4,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.6824011441961932,5.394399401297629,67.98001999191351,Belgium,2019-05-121,5,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.7192739560690079,6.293907474370681,47.47158302107302,Belgium,2019-06-152,6,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.6558728292126005,5.676837272070689,39.483646301501274,Belgium,2019-07-182,7,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.6810150754157488,5.23436920221496,61.792532372012964,Belgium,2019-08-213,8,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
