system:index,NDVI_mean,NTL_mean,Precip_mean,country_na,date,month,year,.geo
0,0.6723750196547112,1.0145330139634317,213.09988033006138,Brazil,2018-01-01,1,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.6663312940864264,1.0379663057367323,256.6113960822995,Brazil,2018-02-32,2,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.6663690871871711,1.0016326496914778,239.22118538986427,Brazil,2018-03-60,3,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.6763576880709672,1.1273242581760547,204.5769229823109,Brazil,2018-04-91,4,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.690259828062194,1.0086345963630117,134.64334367679206,Brazil,2018-05-121,5,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.6820147661587747,0.8736587587352733,65.98587786618893,Brazil,2018-06-152,6,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.6490411091407637,0.886144733207696,61.064591388550525,Brazil,2018-07-182,7,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.6295672932035663,0.8459571252740884,65.20777273108935,Brazil,2018-08-213,8,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.6227719488451021,0.9352968470665849,85.50200789907656,Brazil,2018-09-244,9,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.6508162047094903,0.9804990650400781,132.3143579637167,Brazil,2018-10-274,10,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.623391765528895,1.0201544910558702,186.10531719716107,Brazil,2018-11-305,11,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.662722257257124,0.9630048289958639,211.54592325295405,Brazil,2018-12-335,12,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.677576749225925,0.9060430011353364,208.66860396815727,Brazil,2019-01-01,1,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.6556962478730428,1.0062361805224587,220.85116411524805,Brazil,2019-02-32,2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.6757988492470807,1.050547146895494,245.70564985695762,Brazil,2019-03-60,3,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.7075311983709108,1.002868826214677,202.53844708991835,Brazil,2019-04-91,4,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.6969934185261711,0.9946801890706167,156.6171714881343,Brazil,2019-05-121,5,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.6974686469314126,0.9142885867322295,77.0941385328298,Brazil,2019-06-152,6,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
