system:index,NDVI_mean,NTL_mean,Precip_mean,country_na,date,month,year,.geo
0,0.10184686079571084,0.9788375724842544,104.22773179566374,Canada,2018-01-01,1,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.09978292827896687,0.6468112491606411,76.8909478367294,Canada,2018-02-32,2,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.08437219643750855,0.7705946935445018,47.46722030346077,Canada,2018-03-60,3,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.12615223866199338,0.5946041074546298,80.55049335732309,Canada,2018-04-91,4,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.34089248865701227,0.6717610306906568,68.19754047912014,Canada,2018-05-121,5,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.5607714901776608,0.708829948932264,79.92881145652814,Canada,2018-06-152,6,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.6946594676487676,0.5666185263197826,91.47932791668131,Canada,2018-07-182,7,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.6882302981550033,0.7940393842814234,95.41013742002342,Canada,2018-08-213,8,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.5207717709971917,0.7196340381205637,97.61463457717241,Canada,2018-09-244,9,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.26166455094834445,0.8047117335995058,113.55099764652242,Canada,2018-10-274,10,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.1587191920277605,0.8495985049442392,105.20815699923935,Canada,2018-11-305,11,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.11106344555280204,0.8636613408774296,64.5977781772656,Canada,2018-12-335,12,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.09603565487950955,0.7550195024442002,85.6793522960068,Canada,2019-01-01,1,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.08808176349086372,0.6913759382934402,77.35431778676082,Canada,2019-02-32,2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.08630100545935813,0.6197608451728072,58.359089838679985,Canada,2019-03-60,3,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.11815478039693572,0.5029745481798045,104.67014284583678,Canada,2019-04-91,4,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.38161567073276265,0.7494849648630466,77.88482383191766,Canada,2019-05-121,5,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.6197380239788858,0.544582647977688,92.98552746365843,Canada,2019-06-152,6,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.6628104787175744,0.550012027581434,78.88070777883523,Canada,2019-07-182,7,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.6533923737074384,0.5120382363545287,77.79789556337279,Canada,2019-08-213,8,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.6027272836239369,0.8104464034461311,115.22699798110473,Canada,2019-09-244,9,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.5035971769103726,0.9300426979989438,100.882534781139,Canada,2019-10-274,10,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
