system:index,NDVI_mean,NTL_mean,Precip_mean,country_na,date,month,year,.geo
0,0.15639080834399596,0.8919883558552131,5.691288682841654,China,2018-01-01,1,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.15423904762151952,0.8308735597554796,3.743428022041228,China,2018-02-32,2,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.19929627807221317,0.8295460684392808,10.4769502136783,China,2018-03-60,3,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.29192046100116975,0.7086446533021528,29.524848738109995,China,2018-04-91,4,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.42806574315226786,0.68830450887506,43.60645759274987,China,2018-05-121,5,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.5401929542691507,0.7162802989632505,88.18922101428916,China,2018-06-152,6,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.6668938566165837,0.6938502279536293,172.2668860121986,China,2018-07-182,7,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.6514640644764909,0.7651077583090732,142.4380528933106,China,2018-08-213,8,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.45940034401496405,0.6528994647818197,59.77085910170254,China,2018-09-244,9,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.3119092441182546,0.8046359599588192,17.931850375084966,China,2018-10-274,10,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.2466831594125978,0.7757231565408811,10.532886513389974,China,2018-11-305,11,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.21781279211855453,0.8545725577901908,5.003836785594477,China,2018-12-335,12,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.20223263409921963,0.7584204427861433,2.357055155781049,China,2019-01-01,1,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.19217148927483826,1.04836950693827,4.926728998617988,China,2019-02-32,2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.2194133946282045,0.8845895246341705,6.31830784391812,China,2019-03-60,3,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.2800098672496502,0.755988280762388,19.970211956875804,China,2019-04-91,4,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.41847617610243604,0.8143193735195285,49.480912715672666,China,2019-05-121,5,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.543802097983444,0.7854900112191759,83.36840623836135,China,2019-06-152,6,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.647484168449618,0.7729534091941066,144.50071092300723,China,2019-07-182,7,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.6300384822777755,0.7605523910011297,161.65541083904955,China,2019-08-213,8,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.46527984965809444,0.7485909463192423,46.089011334721995,China,2019-09-244,9,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.32117326016926,0.8106349465896171,25.64331951498937,China,2019-10-274,10,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.24379278017376252,0.945340292985814,15.103192150052621,China,2019-11-305,11,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.1558807639153503,1.0705469938041052,5.6349200765937635,China,2019-12-335,12,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.129707921089154,1.0257057898838018,4.313542312829725,China,2020-01-01,1,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.14912787687348156,0.7892096505844337,7.3400544949375455,China,2020-02-32,2,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.2022696180168417,0.7086425321704728,7.427125528279509,China,2020-03-61,3,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.28864188442978844,0.7832304361663212,14.601363982903964,China,2020-04-92,4,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.4179798683577103,0.7620965235669024,52.3245734269014,China,2020-05-122,5,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.5485524634279397,0.7351794804095093,81.17114160587747,China,2020-06-153,6,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.6457688217571375,0.755280444660941,108.84877623361932,China,2020-07-183,7,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.6441708438665591,0.7983162611244193,172.89898523395973,China,2020-08-214,8,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.4736606678265994,0.6883528804494117,70.93362426487643,China,2020-09-245,9,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.2872586317500263,0.8121619882390427,18.302582960611993,China,2020-10-275,10,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.21948956365706276,0.8574003184760682,16.429877486430232,China,2020-11-306,11,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.16494857632079896,0.9048124019956096,2.7949977770573065,China,2020-12-336,12,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0.15140793606968822,0.9094132763265411,4.782953669271858,China,2021-01-01,1,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0.15195027183644716,1.0738698036088266,7.659966010769466,China,2021-02-32,2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
