system:index,NDVI_mean,NTL_mean,Precip_mean,country_na,date,month,year,.geo
0,0.5204812458150853,2.383189589855597,116.94789344027221,France,2018-01-01,1,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.5169946306255663,1.729210428461263,47.35794496265297,France,2018-02-32,2,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.553304341132124,2.024342122443104,95.25515075657566,France,2018-03-60,3,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.6746882816605326,1.7445736602756234,76.15538824598352,France,2018-04-91,4,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.72023738950353,1.7443039879958886,85.29365162395372,France,2018-05-121,5,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.6859875168881335,1.6420457525707373,75.07986304889553,France,2018-06-152,6,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.637841362269111,1.6458507064365044,54.67915197062748,France,2018-07-182,7,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.6174202376197305,1.7019179350759497,49.97442186552901,France,2018-08-213,8,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.5883549633435264,1.5867495171718784,27.94843489226081,France,2018-09-244,9,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.5860243340523432,1.7080676134473873,73.35959035399414,France,2018-10-274,10,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.5704940171987081,1.7915859149523166,77.24303191319991,France,2018-11-305,11,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.5643317520674885,1.5836118494569411,86.88422183504859,France,2018-12-335,12,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.5084689610769657,2.1275925406805647,43.2113474936228,France,2019-01-01,1,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.5348514097062889,1.5632898600765548,41.4476515124182,France,2019-02-32,2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.5998016407704683,1.5801545864402506,47.24874266831268,France,2019-03-60,3,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.6659096030903294,1.6590272360862117,71.68024495223105,France,2019-04-91,4,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.7216187463851594,1.6344884001814795,56.44458588465931,France,2019-05-121,5,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.7006683025606875,1.6752029636621608,61.643333280755904,France,2019-06-152,6,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.6116171822347541,1.6062984645252552,42.36807608916806,France,2019-07-182,7,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.623085562501917,1.6010014400795707,52.117150312994156,France,2019-08-213,8,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
