system:index,NDVI_mean,NTL_mean,Precip_mean,country_na,date,month,year,.geo
0,0.47110337889846643,2.146003709668846,108.44532011881108,Germany,2018-01-01,1,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.4442330790734815,1.7271366910227168,35.850790335294185,Germany,2018-02-32,2,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.47717507744729043,1.7754285504230305,51.80555297523364,Germany,2018-03-60,3,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.6663336631756268,1.5685662061012267,36.26534566639857,Germany,2018-04-91,4,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.7375801267929454,1.516769055647231,81.71856013454862,Germany,2018-05-121,5,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.6857145779548744,1.7466968714909845,86.51131280239412,Germany,2018-06-152,6,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.6275965196919114,1.5115618082514828,59.91436781397877,Germany,2018-07-182,7,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.5979666042463463,1.475105057116858,70.28538407262398,Germany,2018-08-213,8,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.6094789019305284,1.476970191632639,62.73947961032572,Germany,2018-09-244,9,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.6053161176092041,1.8017890656733169,51.72323199047865,Germany,2018-10-274,10,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.6194678450902377,1.8862465375187731,29.104387802555877,Germany,2018-11-305,11,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.5146099240826587,1.604808639019826,106.05847006895303,Germany,2018-12-335,12,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.4197231761360323,2.0137686779759947,63.253579586236896,Germany,2019-01-01,1,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.5214934544181251,1.6613765991871818,38.235714386044215,Germany,2019-02-32,2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.5749312819080695,1.5474995589043463,61.950104976495744,Germany,2019-03-60,3,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.6654504132686659,1.4766815662093438,45.02974765963053,Germany,2019-04-91,4,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.7245571197813956,1.5380153728592467,100.17747395456128,Germany,2019-05-121,5,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.7134550465990496,1.8141499236143985,68.41708450781732,Germany,2019-06-152,6,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.6350184285654998,1.5051882143692807,75.88620473089775,Germany,2019-07-182,7,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.6534350504271125,1.4591489540311873,94.91686800936525,Germany,2019-08-213,8,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.6396661602170537,1.4960098516891736,62.33325363598134,Germany,2019-09-244,9,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.6448083814883406,1.5032981152067921,77.72394688327188,Germany,2019-10-274,10,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.5860416722108069,1.5275184852467916,64.46477629802368,Germany,2019-11-305,11,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.5898197216426244,1.6381803808537825,64.4687847379643,Germany,2019-12-335,12,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.577923493521596,1.948637638733343,30.398009017541945,Germany,2020-01-01,1,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.5320858908982299,1.5921444592700982,93.47648437022822,Germany,2020-02-32,2,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.590967497916779,1.508839194345926,47.99946091539798,Germany,2020-03-61,3,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
