system:index,NDVI_mean,NTL_mean,Precip_mean,country_na,date,month,year,.geo
0,0.46351082090422585,1.0696368183826712,7.385738685068567,India,2018-01-01,1,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.43552654096220966,1.079765769493819,13.368077461653153,India,2018-02-32,2,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.3782271795484784,1.1249223779494717,16.278378811194194,India,2018-03-60,3,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.33775857295611345,1.2118501616950264,34.819781617633666,India,2018-04-91,4,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.3368542173049821,1.1370619606346022,69.21904707838189,India,2018-05-121,5,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.3453201459150604,1.0376658834242054,177.754122996667,India,2018-06-152,6,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.33729628306624576,0.8971777310774537,312.71859928964494,India,2018-07-182,7,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.4777034833207273,0.904400768907144,283.53982137099445,India,2018-08-213,8,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.5849188631309008,1.0101736776823314,138.03907112062458,India,2018-09-244,9,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.520621080298279,1.035065737417089,47.51187812778126,India,2018-10-274,10,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.46817181609645847,1.2093087923333097,16.92612603064383,India,2018-11-305,11,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.45459269130413565,1.097886862740477,9.895153088921349,India,2018-12-335,12,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.4565568266223064,1.0387108417181832,14.355761333097739,India,2019-01-01,1,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.439525668390965,1.1107162436145994,23.872418559659042,India,2019-02-32,2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.3848336238764341,1.1298420649202798,17.474887300483694,India,2019-03-60,3,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.3371012713496435,1.1948950910856935,31.879854054076652,India,2019-04-91,4,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.3312823038096263,1.229014341118595,57.26439342406745,India,2019-05-121,5,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.3353065252792252,1.082493241088441,133.49094927733435,India,2019-06-152,6,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.4139063983739443,0.8268332036977097,288.10134768537097,India,2019-07-182,7,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.5054951217254058,0.9529765600311845,298.6366982782356,India,2019-08-213,8,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.5936097937213668,1.143977061606941,276.86190966019086,India,2019-09-244,9,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.5654778088904782,1.101275025029314,104.68834216244603,India,2019-10-274,10,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.5344468270612839,1.1303039674167288,22.741696269113017,India,2019-11-305,11,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.5030387264809658,1.123669847255986,13.059417484200361,India,2019-12-335,12,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.5160321627785085,1.0423851506692265,19.921094950205095,India,2020-01-01,1,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.497721463658712,1.105391268428206,13.35269017349014,India,2020-02-32,2,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.436744375177215,1.1296123169501853,32.28121156052653,India,2020-03-61,3,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.3711857669074276,1.0457044914374316,39.53373144477941,India,2020-04-92,4,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.3710869699421389,0.9890792404265341,71.15085508077448,India,2020-05-122,5,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.39845802537371705,0.9591193763146405,206.97774954767308,India,2020-06-153,6,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.46788993098756665,0.8866915230025273,286.42484249789806,India,2020-07-183,7,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.5384520622973721,0.8774471226459905,305.4428725326345,India,2020-08-214,8,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.5841297955416813,0.9477622553356694,208.96212375243206,India,2020-09-245,9,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.537549383484357,0.9817334991053814,94.11246820257314,India,2020-10-275,10,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.4958514593475481,1.222040675467496,25.632369766440405,India,2020-11-306,11,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.490326172044803,1.1179927892426895,14.646675328529794,India,2020-12-336,12,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0.4905917553310256,1.0323617419286115,13.294754084209215,India,2021-01-01,1,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0.46765300682817607,1.0685414403528306,7.296293594817925,India,2021-02-32,2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0.3844675983636227,1.1498068260258045,15.545553516045933,India,2021-03-60,3,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
