system:index,NDVI_mean,NTL_mean,Precip_mean,country_na,date,month,year,.geo
0,0.6414117581597706,0.7952763866104158,273.9847447616172,Indonesia,2018-01-01,1,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.6957243876197942,0.500522342746053,244.5504484697303,Indonesia,2018-02-32,2,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.7220244077094254,0.8567419448645358,304.76685804347903,Indonesia,2018-03-60,3,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.7033285850483212,0.9748478904982064,254.5656128287046,Indonesia,2018-04-91,4,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.7044538081739687,0.7413818065546575,288.082910984025,Indonesia,2018-05-121,5,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.6953015177043533,0.7762243892431353,180.72845846170762,Indonesia,2018-06-152,6,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.7017146717391788,0.980446049530479,156.98207126186702,Indonesia,2018-07-182,7,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.7052225403764076,0.7517117777617942,140.2422661596277,Indonesia,2018-08-213,8,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.6630335353663734,0.770976467839121,147.11416414568362,Indonesia,2018-09-244,9,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.683619103015172,0.7064994635670178,221.3534969126025,Indonesia,2018-10-274,10,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.6528887924857364,0.6614171129391376,297.76747779002,Indonesia,2018-11-305,11,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.6670494562001549,0.5019276293402015,292.2061295274429,Indonesia,2018-12-335,12,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.6634594782077597,0.4082329408887018,293.50343730583984,Indonesia,2019-01-01,1,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.6931965610103454,0.7638172984992783,235.52119251805524,Indonesia,2019-02-32,2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.7341905694530896,0.8908967149858359,279.32443513771824,Indonesia,2019-03-60,3,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.7253684525307856,1.060990898534725,292.5716691317905,Indonesia,2019-04-91,4,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.7170330614880018,0.7649857995889555,228.25750833556813,Indonesia,2019-05-121,5,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.6989181795856769,0.8262226102010751,222.76395824651388,Indonesia,2019-06-152,6,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.7090098553899745,0.8087074425950789,116.7715071149364,Indonesia,2019-07-182,7,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.701920918771194,0.876963839398913,93.09941117199659,Indonesia,2019-08-213,8,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.6341114935167087,0.8684330679908072,87.3521052090504,Indonesia,2019-09-244,9,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.645868130905407,0.7977251405844822,192.0320272847622,Indonesia,2019-10-274,10,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.6747333800602574,0.8065777426169055,159.37560720394563,Indonesia,2019-11-305,11,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.6526321547059455,0.726172890468027,273.5547707594901,Indonesia,2019-12-335,12,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.6834508713409094,0.4931979988244324,251.9511934822754,Indonesia,2020-01-01,1,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.6782540492865835,0.6162591708153775,223.9252034325686,Indonesia,2020-02-32,2,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.7185199475671891,0.8202552445626473,305.41984912273546,Indonesia,2020-03-61,3,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.7238762476372597,0.7888956384162887,291.66080743091476,Indonesia,2020-04-92,4,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.741898000654297,0.7612151067158296,276.6132121969037,Indonesia,2020-05-122,5,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.7050954483233111,0.7282198789148051,236.3938662099225,Indonesia,2020-06-153,6,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.6862403291984019,0.7810507937841812,242.85390337295198,Indonesia,2020-07-183,7,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.6917125075888779,0.6521965166776127,167.2950221424065,Indonesia,2020-08-214,8,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.6718355545075411,0.8348551163809169,259.2939201072441,Indonesia,2020-09-245,9,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.6972386997644789,0.7849729140249067,272.98499393028385,Indonesia,2020-10-275,10,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.6547530663349814,0.5384367525361382,285.5445310360246,Indonesia,2020-11-306,11,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.6404979778533061,0.4664504354391729,300.9277213029355,Indonesia,2020-12-336,12,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0.6019499116760413,0.3100773261665084,309.8922356295933,Indonesia,2021-01-01,1,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0.6800802439363052,0.6667002699122339,251.10651343892417,Indonesia,2021-02-32,2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0.7084613798170797,0.70230260811287,328.24244826792176,Indonesia,2021-03-60,3,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0.7467906629225031,0.9330112734468912,246.01590369918156,Indonesia,2021-04-91,4,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0.7199002335502883,0.9021461310924431,277.90466273791264,Indonesia,2021-05-121,5,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0.7343806488053848,0.7639505701964684,218.35456215666815,Indonesia,2021-06-152,6,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0.737723244163639,0.6391966776194282,207.79733295689397,Indonesia,2021-07-182,7,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0.6680836084187571,0.7556624076952614,288.5389115169948,Indonesia,2021-08-213,8,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0.70125120307506,0.8122815623427548,296.85434275205876,Indonesia,2021-09-244,9,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0.689984721585178,0.9077830679017215,259.9226863017958,Indonesia,2021-10-274,10,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0.6832564052107469,0.6354585951812808,321.0235589551811,Indonesia,2021-11-305,11,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,0.6370530871935549,0.6554941295075565,333.8912134821733,Indonesia,2021-12-335,12,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0.6694097759628735,0.6339184889378721,269.02284347972807,Indonesia,2022-01-01,1,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0.684224895297198,0.7976971946517274,261.6564722467435,Indonesia,2022-02-32,2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0.7333146048410188,0.9161117728177663,300.8738139712422,Indonesia,2022-03-60,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0.7318121989364752,0.9702122313699881,266.98931028115055,Indonesia,2022-04-91,4,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0.7714189832108137,0.9278525195914419,274.81775286594547,Indonesia,2022-05-121,5,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0.7298873088428732,0.8359578938071609,268.7128473148185,Indonesia,2022-06-152,6,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,0.7009330117327329,0.9083170499722204,271.4622075116976,Indonesia,2022-07-182,7,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,0.6837094206085415,1.2532983630851888,275.74002729423216,Indonesia,2022-08-213,8,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,0.6378501735111305,0.937431099208454,286.186318396027,Indonesia,2022-09-244,9,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,0.5403689695598335,0.8136894457673488,336.036587821849,Indonesia,2022-10-274,10,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,0.66676865878148,0.6707906341408776,342.00631272005666,Indonesia,2022-11-305,11,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,0.651392545309878,0.8265364305712455,309.5042635406026,Indonesia,2022-12-335,12,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,0.6207874844139522,0.8758239351068575,289.46115747441416,Indonesia,2023-01-01,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,0.6245784591908595,0.8297319033305377,265.5027017111009,Indonesia,2023-02-32,2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,0.6910769932483344,1.2483094599510702,306.6626945527076,Indonesia,2023-03-60,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
