system:index,NDVI_mean,NTL_mean,Precip_mean,country_na,date,month,year,.geo
0,0.26218942605415724,7.729226387266754,110.02647411985106,Israel,2018-01-01,1,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.29243997007782163,8.807124907918876,78.5589906926,Israel,2018-02-32,2,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.2865006520705185,9.277493206719095,23.249166080651918,Israel,2018-03-60,3,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.22194444333595378,8.935877162979025,15.421029489139897,Israel,2018-04-91,4,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.19948487640512258,9.129159886673161,4.834913604786584,Israel,2018-05-121,5,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.19659054898553965,9.2747939325031,5.35464131225772E-4,Israel,2018-06-152,6,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.18547403623121644,9.115123044026985,0.0,Israel,2018-07-182,7,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.1843334287408214,9.080986615480489,0.010790868730480905,Israel,2018-08-213,8,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.17979204205468793,8.980855641684807,0.710342860033411,Israel,2018-09-244,9,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.17856138689856654,8.756328984523552,9.415095043443609,Israel,2018-10-274,10,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.20334518077122096,8.696451213266387,50.21895611448079,Israel,2018-11-305,11,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.26131426917035294,8.43946664773948,100.6420627573597,Israel,2018-12-335,12,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.28223977675464196,8.683917858570325,76.86910320885954,Israel,2019-01-01,1,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.303255154496744,8.618816305979275,84.83744577524484,Israel,2019-02-32,2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.30433501841030974,8.727029151398707,67.23919048992188,Israel,2019-03-60,3,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.2526063209435568,9.251021063501197,8.75606185613324,Israel,2019-04-91,4,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.2114168508662847,9.288500581084774,2.5809527251191233,Israel,2019-05-121,5,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.20388576454419047,9.175592042384695,0.10834186757025237,Israel,2019-06-152,6,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.19564768290045,9.157187223186641,0.0,Israel,2019-07-182,7,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.1920325486040725,9.00581656761085,0.0,Israel,2019-08-213,8,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.1890830349524286,9.066594162748189,0.015187486889453277,Israel,2019-09-244,9,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.1968595493454682,8.904907612125866,8.321589942900223,Israel,2019-10-274,10,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.19420199674785005,9.20141462996559,19.87754726540175,Israel,2019-11-305,11,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.21119096833929277,8.7309961686027,87.37748038919301,Israel,2019-12-335,12,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.25609625301257793,8.036928837839156,127.70860330156245,Israel,2020-01-01,1,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.2989870623844693,8.58812026348524,50.0117790695006,Israel,2020-02-32,2,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.32109669250284656,8.477707578949985,46.145244850951585,Israel,2020-03-61,3,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.27867744235873504,9.23483346437689,8.42647042106782,Israel,2020-04-92,4,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.22538726865731276,9.419644506519925,2.6876541891699186,Israel,2020-05-122,5,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.21036404889041857,9.393677281125202,0.18243183819958697,Israel,2020-06-153,6,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.20408123132684525,9.322147080317077,0.014017631959265189,Israel,2020-07-183,7,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
