system:index,NDVI_mean,NTL_mean,Precip_mean,country_na,date,month,year,.geo
0,0.46417167078248606,3.6467337934624675,45.37377553007223,Italy,2018-01-01,1,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.40427958442211015,3.5310887624999117,76.24521721576915,Italy,2018-02-32,2,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.4882871318313531,3.727876534829052,105.72508099242094,Italy,2018-03-60,3,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.5769375932577125,3.5409534939364686,53.798479015765295,Italy,2018-04-91,4,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.6327869169447516,3.4787013416825077,91.12280496489659,Italy,2018-05-121,5,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.6319383129523447,3.414180955852671,54.984237752339,Italy,2018-06-152,6,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.6273929832180435,3.3666026898221357,45.228469083228646,Italy,2018-07-182,7,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.6201467637957434,3.3806168333096442,75.41827849705477,Italy,2018-08-213,8,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.5950626363412658,3.313177216735032,44.79906062411613,Italy,2018-09-244,9,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.5827827801693366,3.28186270741432,124.95960118364117,Italy,2018-10-274,10,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.5441834748474157,3.422058725288185,109.75948825389992,Italy,2018-11-305,11,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.5314459793996766,3.534219589134503,40.29779968790486,Italy,2018-12-335,12,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.47413865639360114,3.5408113553287373,54.26668372879047,Italy,2019-01-01,1,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.4634630900766164,3.5122448025892763,42.85950614033167,Italy,2019-02-32,2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.51458911919591,3.5010164779562643,32.34552459648378,Italy,2019-03-60,3,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.5857651749085043,3.3763541173522387,79.04259833070316,Italy,2019-04-91,4,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.6229022301495518,3.52209699632424,95.12660613941483,Italy,2019-05-121,5,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.6211437440263461,3.4284847844619235,28.67338687400361,Italy,2019-06-152,6,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.625050871497213,3.3221600690709048,61.34243973011512,Italy,2019-07-182,7,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.6134759566189364,3.366771482041442,45.643308317830375,Italy,2019-08-213,8,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.6035701614550244,3.2989448036137126,59.96200877618925,Italy,2019-09-244,9,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.5758490685124185,3.3482963695285535,69.72284656015252,Italy,2019-10-274,10,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.5212741959000542,3.208255106090877,219.6692847326602,Italy,2019-11-305,11,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.522734271211853,3.6307119007637567,80.51468040830197,Italy,2019-12-335,12,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.5027458077027045,3.4013909850705613,20.949784871701052,Italy,2020-01-01,1,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.5026929984508104,3.2688945056029786,21.950990889803187,Italy,2020-02-32,2,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.5223927048050689,3.2647965178901637,61.24652621269618,Italy,2020-03-61,3,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.5900348228252469,3.4026069307598985,54.40725770700416,Italy,2020-04-92,4,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.6413580378214925,3.3711134637115348,57.3511023828996,Italy,2020-05-122,5,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.6395145525565804,3.3442336478049923,69.36914928412513,Italy,2020-06-153,6,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.6240616207297901,3.405881253826967,37.10372082924202,Italy,2020-07-183,7,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.6036379330261156,3.37378629493387,79.19648109496104,Italy,2020-08-214,8,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
