system:index,NDVI_mean,NTL_mean,Precip_mean,country_na,date,month,year,.geo
0,0.34102474741706906,2.5156633351756135,99.41442014135802,Japan,2018-01-01,1,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.3329819043694636,2.338029163319143,63.54843717062037,Japan,2018-02-32,2,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.40001073636307727,1.8815369295337698,161.30878763963952,Japan,2018-03-60,3,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.5424470756569166,1.7157442630564121,101.7412267490909,Japan,2018-04-91,4,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.7173223018970979,1.7711190710303233,175.9758275771881,Japan,2018-05-121,5,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.7252230087251726,1.786821581789697,184.5864208272543,Japan,2018-06-152,6,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.798815156399477,1.852224924970645,260.38028494148375,Japan,2018-07-182,7,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.7497092528390006,1.8796174908064245,184.89726189288473,Japan,2018-08-213,8,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.7536943194307353,1.540449660046485,335.83954916535777,Japan,2018-09-244,9,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.6963540198761438,1.6599944616751499,112.1476691578021,Japan,2018-10-274,10,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.6001892032862799,1.854188301261759,66.50087062094954,Japan,2018-11-305,11,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.44740371913245464,2.3492071530560454,92.61883943948575,Japan,2018-12-335,12,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.38155572672305926,2.2950687755716546,52.48729537737963,Japan,2019-01-01,1,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.38096471329577986,2.44880663063659,72.66273995938776,Japan,2019-02-32,2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.410404166309631,1.853316055427814,104.03885518871382,Japan,2019-03-60,3,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.534859911610297,1.6731406862147353,94.11282395262411,Japan,2019-04-91,4,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.71255639791271,1.7680796312791562,110.76358189067324,Japan,2019-05-121,5,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.7125821884166827,1.79370687029298,181.36402744879211,Japan,2019-06-152,6,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.720403390022885,1.7962151617544333,246.94367232639962,Japan,2019-07-182,7,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.7625212553167771,1.8411479635788237,256.030650422172,Japan,2019-08-213,8,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.769134646604799,1.731628087260117,120.46590232956657,Japan,2019-09-244,9,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.697998311137045,1.834079307137152,252.5148213958382,Japan,2019-10-274,10,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.6099162024541565,1.8961762217501226,68.19505605724483,Japan,2019-11-305,11,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.49026990992146147,2.06420743975861,91.08055763938498,Japan,2019-12-335,12,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.42557768886173963,2.1375410897417337,110.39924437180959,Japan,2020-01-01,1,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.40156203915517,2.154948804818011,74.94889590633916,Japan,2020-02-32,2,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.4570886723461163,1.7973023764162739,125.7072153949884,Japan,2020-03-61,3,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.5325806275308794,1.6585648210980206,112.17146327529898,Japan,2020-04-92,4,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.7009667109873301,1.6951050424467662,125.13822739303919,Japan,2020-05-122,5,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.7092464484806856,1.6598581346148313,194.77461607825128,Japan,2020-06-153,6,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.7071800165798466,1.5406280813338673,432.421129383252,Japan,2020-07-183,7,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.7953239298938092,1.688117549448925,116.01698840554,Japan,2020-08-214,8,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.7352792463477361,1.811515743179124,237.39034976237065,Japan,2020-09-245,9,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
