system:index,NDVI_mean,NTL_mean,Precip_mean,country_na,date,month,year,.geo
0,0.42634751743460825,0.9398182909314494,26.75840849881463,Mexico,2018-01-01,1,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.4083253204698744,0.8113828708274263,15.11763018097621,Mexico,2018-02-32,2,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.3889364301181876,0.8783236895016272,9.976562642141635,Mexico,2018-03-60,3,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.3758544280374054,0.9114129772563353,30.00295195266788,Mexico,2018-04-91,4,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.4006088005647289,0.8277001729435227,30.436518229266305,Mexico,2018-05-121,5,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.4589563485034782,0.8051815935153378,117.09668136673137,Mexico,2018-06-152,6,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.507887999276607,0.7349307096947597,83.27527418335649,Mexico,2018-07-182,7,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.534712212055613,0.7541763622309172,136.35710419261326,Mexico,2018-08-213,8,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.5648068083621106,0.8493952128781762,159.20399286575554,Mexico,2018-09-244,9,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.5543475458734989,0.9312187023648878,116.7726181323094,Mexico,2018-10-274,10,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.525649425751935,0.8910148567615037,37.16978232929348,Mexico,2018-11-305,11,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.4875572702817636,0.7606804445251159,24.650994297107424,Mexico,2018-12-335,12,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.45255999934139535,0.6753133068854407,19.65030920188643,Mexico,2019-01-01,1,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.4203116612963416,0.8419245307767081,11.21145508627877,Mexico,2019-02-32,2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.39670330635768836,0.9392157946859149,13.720733392091956,Mexico,2019-03-60,3,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.3762683618066899,0.8955870560503565,9.589506312571109,Mexico,2019-04-91,4,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.38044854088993174,0.8746555314433413,30.09703707736792,Mexico,2019-05-121,5,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.4383030986245729,0.8677820218232635,90.38844261113809,Mexico,2019-06-152,6,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.4946613392083206,0.7536463159961954,101.80071680606493,Mexico,2019-07-182,7,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.5291616321150204,0.738870535634132,109.81379970474764,Mexico,2019-08-213,8,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.5462194328205867,0.825656658577164,135.38894919737214,Mexico,2019-09-244,9,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.5292577832472236,0.9270346771213257,108.95787376457444,Mexico,2019-10-274,10,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.5127116612539859,1.0027086764645063,54.500371211617896,Mexico,2019-11-305,11,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.4980300837464246,0.8330121318482784,21.647150782043997,Mexico,2019-12-335,12,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.4695585777574341,0.7651496226827812,25.75440768339994,Mexico,2020-01-01,1,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.44044776130278096,0.8585585712899269,18.351318621313084,Mexico,2020-02-32,2,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.4045132570571676,0.8704047400772995,19.04675535841744,Mexico,2020-03-61,3,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.38708801120894665,0.9033008532311969,15.556735068096932,Mexico,2020-04-92,4,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.399382032263416,0.8532653000557812,51.801475604426585,Mexico,2020-05-122,5,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.4399658223597885,0.8318975046746458,95.95160916172638,Mexico,2020-06-153,6,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.5037659060066711,0.7540508952713317,119.18430592627354,Mexico,2020-07-183,7,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.5323130382183634,0.7771181479250799,120.43280520570036,Mexico,2020-08-214,8,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.5319435341033976,0.810666055165956,131.763270809867,Mexico,2020-09-245,9,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.48540715173814597,0.841900334923191,60.05144203113419,Mexico,2020-10-275,10,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.4569133935921228,0.9693513429571625,30.75071307274298,Mexico,2020-11-306,11,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.4447551990381609,0.9612490955042055,19.779767969089125,Mexico,2020-12-336,12,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0.4153941825000147,0.9737361238087169,22.04314697481052,Mexico,2021-01-01,1,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0.3976886275455164,0.8776495775739844,10.286295919164365,Mexico,2021-02-32,2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0.36813024446473325,0.9605933731168751,8.243618789075832,Mexico,2021-03-60,3,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0.35251654928706977,0.9621667706839564,12.23010855388751,Mexico,2021-04-91,4,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0.3855201865539537,0.9144729535569318,52.328677358517204,Mexico,2021-05-121,5,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0.4352636594855296,0.9086174404369805,130.97438241927645,Mexico,2021-06-152,6,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0.5437798205958692,0.8183406547301724,123.10285261833334,Mexico,2021-07-182,7,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0.5560297363147305,0.9085466880475948,143.64317024038945,Mexico,2021-08-213,8,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0.5574860289864976,0.9893833380966723,141.62872568974018,Mexico,2021-09-244,9,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0.5254542209592376,1.0340745911272473,74.61344459063692,Mexico,2021-10-274,10,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0.49237623868965547,0.9801483934950728,20.296838123149627,Mexico,2021-11-305,11,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,0.4586940805975388,1.0095952917819642,19.14266531889857,Mexico,2021-12-335,12,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0.43744221161125013,0.8707737700150788,19.275168609708498,Mexico,2022-01-01,1,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0.40852597585920997,0.9294993407611747,13.808713943067772,Mexico,2022-02-32,2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0.37380493487061595,1.053754977677831,8.520904945321561,Mexico,2022-03-60,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0.35959217374215957,1.1057188625882794,19.074598038806176,Mexico,2022-04-91,4,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0.36479065602106087,1.0798284916225502,32.07396584150451,Mexico,2022-05-121,5,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0.42693246289543146,1.0073493430052434,99.86815900962085,Mexico,2022-06-152,6,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,0.49172501919526995,0.9438042992580539,105.24660397614701,Mexico,2022-07-182,7,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,0.5458945874553658,0.9094471138809261,165.16533294967283,Mexico,2022-08-213,8,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,0.5605823957075574,1.1172563750568114,160.5598009059549,Mexico,2022-09-244,9,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,0.5190774780270935,1.2122834812869958,64.73832126204184,Mexico,2022-10-274,10,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,0.5060795488113379,1.1970270899294884,29.043641346559273,Mexico,2022-11-305,11,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,0.4711125631174286,1.07683906081635,22.017160774874082,Mexico,2022-12-335,12,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,0.4397725041022022,1.0878732349840965,15.949562051495667,Mexico,2023-01-01,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,0.40687013782747683,1.1189078533898238,14.810040740087954,Mexico,2023-02-32,2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,0.38170873590596816,1.1161054246376798,15.421549089776304,Mexico,2023-03-60,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,0.3767506950523681,1.2520672442409897,17.14091370214547,Mexico,2023-04-91,4,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,0.3973808575119023,1.2489206451959411,48.69465996376058,Mexico,2023-05-121,5,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,0.41014158592721545,1.2465056416447338,39.09548303536224,Mexico,2023-06-152,6,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
