system:index,NDVI_mean,NTL_mean,Precip_mean,country_na,date,month,year,.geo
0,0.5513227492036267,8.543420550533535,,Netherlands,2018-01-01,1,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.5484543398049725,7.183768833523184,,Netherlands,2018-02-32,2,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.48741094090406806,7.747795041368958,,Netherlands,2018-03-60,3,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.6226126301836774,7.633466245427445,,Netherlands,2018-04-91,4,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.6726752282790978,6.534262747327314,,Netherlands,2018-05-121,5,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.6579413050946076,6.182177143048726,,Netherlands,2018-06-152,6,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.6110870153298359,5.924403835851863,,Netherlands,2018-07-182,7,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.6582708416394087,6.751573606943798,,Netherlands,2018-08-213,8,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.6685794175845574,7.282765856454556,,Netherlands,2018-09-244,9,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.6590324997231451,8.170899537608838,,Netherlands,2018-10-274,10,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.6399960752593047,8.463392560650604,,Netherlands,2018-11-305,11,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.5781779476633802,8.25795412504763,,Netherlands,2018-12-335,12,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.541493584848772,8.228213313925286,,Netherlands,2019-01-01,1,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.5773332770018298,9.173331487751083,,Netherlands,2019-02-32,2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.5907507065430853,8.479971432867742,,Netherlands,2019-03-60,3,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.6409190922825347,7.166069195342832,,Netherlands,2019-04-91,4,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.6537146698276847,6.480795649644942,,Netherlands,2019-05-121,5,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.6836315180120179,6.52018303991236,,Netherlands,2019-06-152,6,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.6657224962152792,5.936438159549838,,Netherlands,2019-07-182,7,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.6789668262112143,7.311937315625572,,Netherlands,2019-08-213,8,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.6667785200457875,7.436878097668368,,Netherlands,2019-09-244,9,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.672468636043372,7.986089284220559,,Netherlands,2019-10-274,10,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.6451227459160246,8.086013920614569,,Netherlands,2019-11-305,11,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.5733739488577968,9.1140776979093,,Netherlands,2019-12-335,12,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.4776134532243037,8.37128747976602,,Netherlands,2020-01-01,1,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.568041353975542,9.17326903339814,,Netherlands,2020-02-32,2,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.5882375726535035,6.8515132645086885,,Netherlands,2020-03-61,3,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.6350486130938277,6.0449200621263195,,Netherlands,2020-04-92,4,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.6386809732550369,6.236894029379714,,Netherlands,2020-05-122,5,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.6945348405881931,6.451529366852644,,Netherlands,2020-06-153,6,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.7090907466910278,6.642933338711518,,Netherlands,2020-07-183,7,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.6797680444384442,6.693828209342212,,Netherlands,2020-08-214,8,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.6304611608215485,8.571267012683455,,Netherlands,2020-09-245,9,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.6386539482101394,7.855717550271014,,Netherlands,2020-10-275,10,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.6446118112961569,8.414059974301296,,Netherlands,2020-11-306,11,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.5538062481237987,8.68766897784035,,Netherlands,2020-12-336,12,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0.5547840170376397,8.463988523893947,,Netherlands,2021-01-01,1,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0.3438303214664548,10.308783042501016,,Netherlands,2021-02-32,2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0.5763850496764583,7.996857179800527,,Netherlands,2021-03-60,3,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0.6092648260887101,6.851044004138431,,Netherlands,2021-04-91,4,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0.6465175955352562,6.560523758803993,,Netherlands,2021-05-121,5,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0.6614582375643387,6.671842162522266,,Netherlands,2021-06-152,6,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0.7196489355163496,6.862660510581662,,Netherlands,2021-07-182,7,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0.7260449870232356,7.365220506472132,,Netherlands,2021-08-213,8,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0.7036071830736484,7.371739939544688,,Netherlands,2021-09-244,9,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0.6766189660662986,7.510750792466454,,Netherlands,2021-10-274,10,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0.6458410208815076,7.411699074067322,,Netherlands,2021-11-305,11,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,0.5268549239552722,6.492307246545018,,Netherlands,2021-12-335,12,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
