system:index,NDVI_mean,NTL_mean,Precip_mean,country_na,date,month,year,.geo
0,0.004453362322568733,1.4284657343616316,,Norway,2018-01-01,1,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.0059507349587481495,1.3392790484088484,,Norway,2018-02-32,2,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.028773037257861806,1.1373531507361339,,Norway,2018-03-60,3,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.07283372088853499,0.815446253087173,,Norway,2018-04-91,4,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.3887914567117454,1.4074780245503278,,Norway,2018-05-121,5,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.5592133948164488,,,Norway,2018-06-152,6,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.6354863389619728,1.9173636214679795,,Norway,2018-07-182,7,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.6096217209514386,1.0168637001316074,,Norway,2018-08-213,8,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.45211253230310877,0.7572407334988366,,Norway,2018-09-244,9,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.3860521761006658,0.7561025410783614,,Norway,2018-10-274,10,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.17547863959770468,0.6953495178458947,,Norway,2018-11-305,11,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.06636808131064985,1.2156952287458267,,Norway,2018-12-335,12,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.023569461896408104,1.4979534527379708,,Norway,2019-01-01,1,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.028087784320430104,1.44732702794588,,Norway,2019-02-32,2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.0532547395125182,1.0815681464822506,,Norway,2019-03-60,3,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.1273182938084312,0.9005022751111309,,Norway,2019-04-91,4,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.32679446230230913,1.2380111482951281,,Norway,2019-05-121,5,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
