system:index,NDVI_mean,NTL_mean,Precip_mean,country_na,date,month,year,.geo
0,0.3424984703091735,2.5513263064484546,29.641241273193586,Poland,2018-01-01,1,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.33709575250127666,2.0721140555283992,25.81660877982729,Poland,2018-02-32,2,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.4028735620398983,1.8739621647679527,40.74861534216143,Poland,2018-03-60,3,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.6135993340621183,1.5389127757987704,52.7734885126478,Poland,2018-04-91,4,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.7399873168179255,1.5050560715029362,72.40452042585684,Poland,2018-05-121,5,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.6833618633560893,1.751913165611626,119.98249608610917,Poland,2018-06-152,6,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.6690584329974298,1.4743694227942286,84.66096379965367,Poland,2018-07-182,7,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.6345880401112285,1.4224932230725935,77.70169824761146,Poland,2018-08-213,8,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.6152189729714888,1.4818549178633944,75.19815728052181,Poland,2018-09-244,9,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.5899544261934357,1.6176290845993524,54.24946441054454,Poland,2018-10-274,10,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.5829658012373888,1.8994013971185102,16.80934818737204,Poland,2018-11-305,11,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.3044022435212358,1.5001074369784162,60.397772204849915,Poland,2018-12-335,12,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.24639420500127293,2.5617229884247417,36.974895929092675,Poland,2019-01-01,1,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.45114506350083855,1.76025689272398,29.477917432315035,Poland,2019-02-32,2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.49705019037483394,1.5500849669944674,41.43351413969401,Poland,2019-03-60,3,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.5845722038347119,1.5419733410325516,45.712556743113204,Poland,2019-04-91,4,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.7201638747471102,1.5552652368130662,113.26767626748588,Poland,2019-05-121,5,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.7014671600864164,1.8970104415819262,66.93022695286989,Poland,2019-06-152,6,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.6236906192224548,1.4881667671652217,77.35427314051809,Poland,2019-07-182,7,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.6380937804019023,1.4329902347259769,117.96725345377926,Poland,2019-08-213,8,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.6265181313216724,1.481119708262189,70.3833825432137,Poland,2019-09-244,9,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.6030296533144257,1.4585683579593636,32.70136791036758,Poland,2019-10-274,10,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.5641779249658654,1.6502631600080098,93.64613265985044,Poland,2019-11-305,11,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.5245811060272159,1.7720116325163562,81.36465486077284,Poland,2019-12-335,12,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.539439763796043,2.459987287086503,35.48738830391053,Poland,2020-01-01,1,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.4872503152908523,1.6859368048133996,53.90556001411712,Poland,2020-02-32,2,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.5366827463730102,1.4542351119308803,31.997864479072444,Poland,2020-03-61,3,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.5688192159402411,1.4638836006617773,20.006359125640437,Poland,2020-04-92,4,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
