system:index,NDVI_mean,NTL_mean,Precip_mean,country_na,date,month,year,.geo
0,0.09962203253914056,1.2453378949783345,4.770559233224547,Saudi Arabia,2018-01-01,1,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.10183281020883672,1.2455327729793895,14.300702859763211,Saudi Arabia,2018-02-32,2,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.10219653504209134,1.3240974041301452,14.292109823477078,Saudi Arabia,2018-03-60,3,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.10092095895483882,1.2961415182026272,23.33620183453494,Saudi Arabia,2018-04-91,4,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.0996227460745574,1.391472754735045,8.93977177514688,Saudi Arabia,2018-05-121,5,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.09901945460052265,1.3895509892971936,0.18718989805997155,Saudi Arabia,2018-06-152,6,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.0992773540573354,1.2764336718785545,2.0579953539611173,Saudi Arabia,2018-07-182,7,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.10110339344123907,1.288130756155863,3.9483891485673555,Saudi Arabia,2018-08-213,8,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.1008111989345793,1.2991682685287782,0.5952709910847238,Saudi Arabia,2018-09-244,9,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.09877237678468463,1.3241471741010191,9.521355019940268,Saudi Arabia,2018-10-274,10,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.10440350274963567,1.1450013014619194,36.54622743444734,Saudi Arabia,2018-11-305,11,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.11514265766326952,1.1770876534768797,11.338257967010632,Saudi Arabia,2018-12-335,12,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.11570717742334288,1.16481546028652,16.728505562958922,Saudi Arabia,2019-01-01,1,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.12039310725716526,1.2141413007491497,11.00776098960231,Saudi Arabia,2019-02-32,2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.11550074260426808,1.2835521488068655,19.789032193618635,Saudi Arabia,2019-03-60,3,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.10777171468709675,1.30332415887157,18.927477296668233,Saudi Arabia,2019-04-91,4,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.10546304552134027,1.4519518514923864,8.846294073046323,Saudi Arabia,2019-05-121,5,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.10583447846377153,1.3142081008571826,0.5907872761809433,Saudi Arabia,2019-06-152,6,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.10317953363378331,1.2533224696792409,1.8749870909824846,Saudi Arabia,2019-07-182,7,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.10543503106066111,1.2457429980979497,4.137300367704565,Saudi Arabia,2019-08-213,8,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.10497131420737311,1.295918917356152,0.3071379986016916,Saudi Arabia,2019-09-244,9,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.106181651354374,1.3104898364022974,2.8014850466606416,Saudi Arabia,2019-10-274,10,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.10490449053738699,1.2329823444230201,10.681138574102524,Saudi Arabia,2019-11-305,11,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.10587247329590754,1.257032548818837,7.788095967964879,Saudi Arabia,2019-12-335,12,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.10701034811908332,1.2431892761401013,5.449680226431846,Saudi Arabia,2020-01-01,1,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.10553446332958849,1.239181194828245,8.547572334361865,Saudi Arabia,2020-02-32,2,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.10436907362417076,1.2529872544526603,15.30646432437339,Saudi Arabia,2020-03-61,3,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.10329635688491706,1.1982378889015837,18.63112047936233,Saudi Arabia,2020-04-92,4,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.10290900632995004,1.2285450160707174,6.874207838822724,Saudi Arabia,2020-05-122,5,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.10341336958647505,1.188760549442174,0.5931639501544854,Saudi Arabia,2020-06-153,6,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.10228370158541791,1.1643790399458576,4.7333984985754585,Saudi Arabia,2020-07-183,7,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.10617577635015267,1.1971977268926328,4.60840080639563,Saudi Arabia,2020-08-214,8,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.1064158336321896,1.2323659670427627,0.4215118185562177,Saudi Arabia,2020-09-245,9,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.10521529967256923,1.2436068399036344,2.478396981297725,Saudi Arabia,2020-10-275,10,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.1029611162659008,1.2711566770559266,9.985157936604919,Saudi Arabia,2020-11-306,11,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.10530808234471624,1.2846215387884432,10.537661572696253,Saudi Arabia,2020-12-336,12,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0.1092063782595998,1.1568875112387118,6.147634145349032,Saudi Arabia,2021-01-01,1,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0.11350401154270921,1.1613529678057883,12.046391498110196,Saudi Arabia,2021-02-32,2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0.10864459949438801,1.2169697373770911,9.795344331001644,Saudi Arabia,2021-03-60,3,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0.10671167427373436,1.4025528041141444,12.398370084136902,Saudi Arabia,2021-04-91,4,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0.10543038534831244,1.3383738946558994,4.15186704157486,Saudi Arabia,2021-05-121,5,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0.1035505630733248,1.2556561822132373,0.10343644924920914,Saudi Arabia,2021-06-152,6,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0.10295824154655829,1.2300349976886071,4.8312586957278585,Saudi Arabia,2021-07-182,7,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0.10517424125569604,1.29197301828307,3.2542641954372664,Saudi Arabia,2021-08-213,8,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0.10410447218485637,1.3445049428440803,0.5770553216238972,Saudi Arabia,2021-09-244,9,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0.10195386922395677,1.3370993586664022,0.9143007804402338,Saudi Arabia,2021-10-274,10,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0.10117282155286565,1.289002046450907,5.33942935905589,Saudi Arabia,2021-11-305,11,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,0.0992526884441324,1.2335684304343597,11.401128872756283,Saudi Arabia,2021-12-335,12,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0.102166152888069,1.2551229887522226,11.277540372300495,Saudi Arabia,2022-01-01,1,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0.10441064742782574,1.262771805522081,5.442062895193886,Saudi Arabia,2022-02-32,2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0.10388873453765715,1.3906396762814617,11.778502057110538,Saudi Arabia,2022-03-60,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0.10197847800078302,1.5965113070457855,15.067490940589742,Saudi Arabia,2022-04-91,4,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0.09994825683880297,1.457394171527241,1.8422972495086616,Saudi Arabia,2022-05-121,5,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0.10030541834477726,1.3788836696843794,0.16391805895034206,Saudi Arabia,2022-06-152,6,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,0.09824856733353383,1.3629577670145445,6.377454393889397,Saudi Arabia,2022-07-182,7,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,0.10388333248223997,1.2636318072627037,8.78573172933675,Saudi Arabia,2022-08-213,8,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,0.10501321902994137,1.4261719330473843,0.5896954299027362,Saudi Arabia,2022-09-244,9,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,0.10281454280218884,1.45366899311479,0.7055752179179737,Saudi Arabia,2022-10-274,10,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,0.10380415868724245,1.3276278614175467,16.853031398798603,Saudi Arabia,2022-11-305,11,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,0.10725529852524157,1.4123756411671757,12.707267013876537,Saudi Arabia,2022-12-335,12,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,0.11485167872402499,1.4233480751147212,17.419593355461732,Saudi Arabia,2023-01-01,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,0.12131562817749372,1.4091090991519528,7.243277361645196,Saudi Arabia,2023-02-32,2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,0.1226055592494735,1.4405178325190908,23.935140976531716,Saudi Arabia,2023-03-60,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,0.11752354193834975,1.6992594201367996,26.602321604786262,Saudi Arabia,2023-04-91,4,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,0.1123398337651334,1.5469256632966477,10.816222694232616,Saudi Arabia,2023-05-121,5,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,0.11035878656145665,1.5584945524087848,0.8677709831724209,Saudi Arabia,2023-06-152,6,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,0.10763079459758612,1.4677226648638813,1.906067773829161,Saudi Arabia,2023-07-182,7,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,0.10688275948726074,1.5187775570755213,3.5154445425740395,Saudi Arabia,2023-08-213,8,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,0.10658814008148669,1.568795742170466,0.476323287128854,Saudi Arabia,2023-09-244,9,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,0.10457791852596585,1.648089793526509,4.86877905088331,Saudi Arabia,2023-10-274,10,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,0.11019313402649403,1.6124222519076887,17.68803234125402,Saudi Arabia,2023-11-305,11,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,0.11479799009990625,1.5421611336240422,10.272694771908993,Saudi Arabia,2023-12-335,12,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
