system:index,NDVI_mean,NTL_mean,Precip_mean,country_na,date,month,year,.geo
0,0.33949478253023974,0.5779582223937842,60.77593557854499,South Africa,2018-01-01,1,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.3976666607397968,0.5902136852668078,82.05905582187974,South Africa,2018-02-32,2,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.42281539386178674,0.7041961519655514,67.20172304772692,South Africa,2018-03-60,3,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.42773357988539107,0.6026271092835563,44.17503108572629,South Africa,2018-04-91,4,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.3744298772513089,0.553975153466336,17.68807971773311,South Africa,2018-05-121,5,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.32570640239516097,0.5290516386766821,7.829823845919944,South Africa,2018-06-152,6,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.29542756852989105,0.4561138583790135,9.578238127166742,South Africa,2018-07-182,7,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.2798924436115802,0.48773943131831493,14.293154824241816,South Africa,2018-08-213,8,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.2756819983278189,0.5794838484280896,21.671005163567063,South Africa,2018-09-244,9,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.27730699469916886,0.5039959849005619,21.078838187948033,South Africa,2018-10-274,10,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.27440574080555213,0.5919517068770542,26.405040977675142,South Africa,2018-11-305,11,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.2953762068759067,0.5289321574581216,52.02325045828846,South Africa,2018-12-335,12,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.33616066047587173,0.4935058606286853,51.40257179295966,South Africa,2019-01-01,1,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.39025131113537104,0.46688175335012905,77.15622730751396,South Africa,2019-02-32,2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.40195383912008303,0.571989167534212,45.914698117974254,South Africa,2019-03-60,3,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.3980113215645549,0.5839374440206537,60.119358149214385,South Africa,2019-04-91,4,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.36177221189131525,0.5052989678631166,12.48569338776347,South Africa,2019-05-121,5,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.3106315814384704,0.43634598801952185,8.823146077890236,South Africa,2019-06-152,6,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.27819982871999216,0.49278245838110896,7.417461246969398,South Africa,2019-07-182,7,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.2614909271773844,0.476185754818733,4.4817045466385395,South Africa,2019-08-213,8,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.2508042425665547,0.5614348343263665,11.183344471952868,South Africa,2019-09-244,9,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.24695658526924905,0.577775008716704,15.765229158137956,South Africa,2019-10-274,10,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.2718900069866384,0.6207430617246569,42.920419708050055,South Africa,2019-11-305,11,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.3291934061353583,0.6348941777066316,56.007456589576435,South Africa,2019-12-335,12,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.39033917011911534,0.5441720207704618,69.3508129573817,South Africa,2020-01-01,1,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.4329270547047345,0.5274811663396266,80.83925895760072,South Africa,2020-02-32,2,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.43720671873286787,0.6285516493495883,59.61004857805829,South Africa,2020-03-61,3,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.4032963885191816,0.5461159156334852,42.639105121341,South Africa,2020-04-92,4,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.3508405178348087,0.43011356273257906,6.511938314625808,South Africa,2020-05-122,5,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.3058814436725085,0.4192496310952267,11.05497904502839,South Africa,2020-06-153,6,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.28200194308508203,0.45640080138236355,11.571509575067365,South Africa,2020-07-183,7,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.26818547630816636,0.48828548735440136,10.014162290390374,South Africa,2020-08-214,8,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
