system:index,NDVI_mean,NTL_mean,Precip_mean,country_na,date,month,year,.geo
0,0.435613526809744,1.9749135228134616,70.50583559124105,Spain,2018-01-01,1,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.4211504015900026,1.904166968910703,54.064338867837584,Spain,2018-02-32,2,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.448796390467789,2.00205322701441,114.89696385782035,Spain,2018-03-60,3,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.4995062107385878,1.7466700652610718,90.22498193760296,Spain,2018-04-91,4,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.5029216515628823,1.9276936227071775,59.93102937864154,Spain,2018-05-121,5,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.4887186010373263,1.7781560466950637,43.84582464644197,Spain,2018-06-152,6,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.44791444117595886,1.7813490786496264,25.794247637715667,Spain,2018-07-182,7,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.4423012877456326,1.7213577478203679,23.51223548634905,Spain,2018-08-213,8,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.4437269227398771,1.6763627277039064,37.32623226726082,Spain,2018-09-244,9,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.4689959855636833,1.7090614599810778,79.48375371217831,Spain,2018-10-274,10,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.4817048532536971,2.0585754370029092,77.44678015131774,Spain,2018-11-305,11,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.5147040601526779,1.8946813754211724,36.94470639997481,Spain,2018-12-335,12,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.493960147910683,2.0021405023740297,47.30589425963751,Spain,2019-01-01,1,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.4841281258995706,1.6834239430372355,27.456930038227643,Spain,2019-02-32,2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.49204969937558385,1.7211112205508363,26.546601148019974,Spain,2019-03-60,3,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.5059898928431444,1.7853805082248786,90.87346747806828,Spain,2019-04-91,4,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.4834102218545839,1.8136422630045248,32.54522091863387,Spain,2019-05-121,5,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.4365944127956255,1.7382634103676426,21.71516086874886,Spain,2019-06-152,6,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.4162973883048029,1.718568674372647,27.607831195716535,Spain,2019-07-182,7,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
