system:index,NDVI_mean,NTL_mean,Precip_mean,country_na,date,month,year,.geo
0,0.29473818744437796,1.6681817027239734,87.02741759276041,Turkey,2018-01-01,1,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.3082756464241275,1.3838104716275097,63.40393272822785,Turkey,2018-02-32,2,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.40758856111521224,1.618211046583058,82.98830890664577,Turkey,2018-03-60,3,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.47814511990395075,1.3758647974787364,31.301777742354528,Turkey,2018-04-91,4,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.505542515533441,1.4764102033519169,90.56486563338775,Turkey,2018-05-121,5,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.4761541249083913,1.5222264563239662,56.183734907818256,Turkey,2018-06-152,6,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.42133525121649024,1.5032922288511714,19.9670272967058,Turkey,2018-07-182,7,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.39271314438474997,1.4426447684127868,13.538412187618166,Turkey,2018-08-213,8,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.37204065973307887,1.4413555684832504,25.234591082402652,Turkey,2018-09-244,9,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.35871107358119575,1.5143318581985816,62.31777943426062,Turkey,2018-10-274,10,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.3424536927048098,1.7121852495560237,73.33492867902687,Turkey,2018-11-305,11,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.30696741933841065,1.7389456668118746,139.90506580871192,Turkey,2018-12-335,12,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.19067536005163951,1.8606141795849596,128.09067228492734,Turkey,2019-01-01,1,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.2857085075538454,1.433343651677225,64.57476213803805,Turkey,2019-02-32,2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.3307267725166642,1.442248007048652,65.31297510892158,Turkey,2019-03-60,3,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.4036549301858518,1.5783829715737767,71.43231832271628,Turkey,2019-04-91,4,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.4998401071709966,1.556124176844685,51.700123226185625,Turkey,2019-05-121,5,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.4656494796954017,1.5303659727744863,51.66958145034691,Turkey,2019-06-152,6,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.4259958753209417,1.5268355345013704,21.197590337275443,Turkey,2019-07-182,7,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.3953337491939223,1.4835562974645742,16.34147824722623,Turkey,2019-08-213,8,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.3775439244097557,1.514918249446124,15.841723205283886,Turkey,2019-09-244,9,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.3603948356322617,1.5558665766098239,30.985742539737558,Turkey,2019-10-274,10,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
