system:index,NDVI_mean,NTL_mean,Precip_mean,country_na,date,month,year,.geo
0,0.5067230457491169,2.253006019950755,146.76763833742686,United Kingdom,2018-01-01,1,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.5252402838761306,2.441561477303135,36.778203247742326,United Kingdom,2018-02-32,2,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.4922412058571082,2.7973230247996717,74.75709561856918,United Kingdom,2018-03-60,3,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.6134922854706739,2.010962913413983,27.695453433792828,United Kingdom,2018-04-91,4,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.7164928564051907,2.3105751767378937,19.709589216993265,United Kingdom,2018-05-121,5,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.7157631677184764,3.447373157681957,23.173386109307643,United Kingdom,2018-06-152,6,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.599845099861172,2.470582785562239,38.099856870779725,United Kingdom,2018-07-182,7,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.5964227433964996,1.99326245703626,31.322804512600825,United Kingdom,2018-08-213,8,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.6446058453484032,2.032501456919966,21.85330500627429,United Kingdom,2018-09-244,9,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.659547336347888,2.1590435265560726,124.30315991139784,United Kingdom,2018-10-274,10,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.6063169721278974,2.189532740798658,110.80637012985703,United Kingdom,2018-11-305,11,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.5354759847167553,2.1992948883561168,124.95218983030071,United Kingdom,2018-12-335,12,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.5319238104719483,2.3785309110498476,89.69389364015254,United Kingdom,2019-01-01,1,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.5783256160975926,2.354456008583118,58.3494672417023,United Kingdom,2019-02-32,2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.6000978229590069,2.286745971271359,81.32223748913701,United Kingdom,2019-03-60,3,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.6326741390336992,2.1013783955839878,47.13329797519922,United Kingdom,2019-04-91,4,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.6786405209490819,2.190314363922628,28.028874757994025,United Kingdom,2019-05-121,5,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.7122629905007338,3.542068726463631,56.40638918734585,United Kingdom,2019-06-152,6,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.664032746141036,2.503835457373039,27.27779147044365,United Kingdom,2019-07-182,7,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.6595963245372418,2.0155020688775633,40.34013125562915,United Kingdom,2019-08-213,8,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.6494275264599045,1.974249528304826,29.8374945314437,United Kingdom,2019-09-244,9,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.6465173027670136,2.051171742957014,138.76702757820564,United Kingdom,2019-10-274,10,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.5859205987645821,2.0457127076586095,107.2022656733508,United Kingdom,2019-11-305,11,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.5074275233559131,2.007336908776001,112.44204471518957,United Kingdom,2019-12-335,12,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.5016114328884805,2.0914787632492837,85.73722698033784,United Kingdom,2020-01-01,1,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.5322977616643081,2.0163751920319077,83.69869922479818,United Kingdom,2020-02-32,2,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.5424281156093166,1.9790292577113544,31.350632998609793,United Kingdom,2020-03-61,3,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.626419022313093,2.0007726579897236,24.662823116223436,United Kingdom,2020-04-92,4,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.6741182874350534,2.0440895740158713,24.36806708282599,United Kingdom,2020-05-122,5,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.723147037942823,3.2728921557311796,50.406162367622166,United Kingdom,2020-06-153,6,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.6823874834692528,2.301312289997208,27.099396055096168,United Kingdom,2020-07-183,7,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
