system:index,NDVI_mean,NTL_mean,Precip_mean,country_na,date,month,year,.geo
0,0.39792414154710887,2.1514919982946177,51.12476379830294,United States,2018-01-01,1,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.39318700879551793,1.9087887539770063,113.58002046676198,United States,2018-02-32,2,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.4345902212054523,1.9734277772719993,83.22000184748725,United States,2018-03-60,3,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.5197654186095774,1.9128333393961403,82.01831972963654,United States,2018-04-91,4,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.6158398433339031,1.9127895868322886,108.29506075748913,United States,2018-05-121,5,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.6447099933962128,1.8960970020630459,105.1687602553166,United States,2018-06-152,6,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.6543500799817835,1.8277190043166764,103.49694907932347,United States,2018-07-182,7,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.6549942294720731,1.708388325487932,109.21453207938228,United States,2018-08-213,8,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.6359393972510566,1.8214586569958393,141.90533713537687,United States,2018-09-244,9,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.5964184630278379,1.9407366965465118,115.9709941100673,United States,2018-10-274,10,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.5070996665311693,1.9727831859519547,100.77341567367726,United States,2018-11-305,11,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.4458651902883022,1.9873162258790849,127.2434554209948,United States,2018-12-335,12,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.4218851173048863,2.118230509195949,87.85792167004747,United States,2019-01-01,1,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.41630736358144915,2.4512988509620386,95.50530219671906,United States,2019-02-32,2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.4525889237171748,1.9307768931515554,74.80311036611049,United States,2019-03-60,3,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.5853298648113383,1.9619864541688836,112.4145648085812,United States,2019-04-91,4,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.6468499841586356,1.8830619134400584,147.61151019085943,United States,2019-05-121,5,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.6604694455095182,1.925434630083562,137.4600144252819,United States,2019-06-152,6,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.6695558394928759,1.8341574297154608,94.38071737728575,United States,2019-07-182,7,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.6615680058282648,1.762484319909786,109.06003575832815,United States,2019-08-213,8,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.6092968671895127,1.796086625294562,49.61035184363096,United States,2019-09-244,9,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.5514592654677256,1.9077865767687059,119.84742452830841,United States,2019-10-274,10,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.48177182300857774,2.0782221858811,67.91373654604608,United States,2019-11-305,11,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.43770182618267084,2.150173703384223,78.83972240831534,United States,2019-12-335,12,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.4283916833562351,2.074424365981976,93.94192455543906,United States,2020-01-01,1,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.4297883943410568,2.2635954154138367,103.91357511842135,United States,2020-02-32,2,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.4696564536929014,1.9464060979935636,111.7068183456107,United States,2020-03-61,3,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.5763874342271205,1.8950083610818151,103.18759470925437,United States,2020-04-92,4,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.6153883411717026,1.770193331354589,112.88056106456438,United States,2020-05-122,5,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.6320523281236536,1.8252635852924104,98.61393758547054,United States,2020-06-153,6,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.6684950121646781,1.7516437467118908,114.8109961973324,United States,2020-07-183,7,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.6571233117289861,1.6645206598321993,99.88302242774624,United States,2020-08-214,8,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.6107555268260065,1.6940026836856605,103.06049767007102,United States,2020-09-245,9,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.5266812400280486,1.7737806564739143,77.85645971607246,United States,2020-10-275,10,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.48182347281943333,1.8985357227877866,60.08703639667859,United States,2020-11-306,11,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.44702024721471945,2.196216901002489,66.89611619392265,United States,2020-12-336,12,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0.42336147878047753,2.2143339778050395,65.1447165051735,United States,2021-01-01,1,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0.3991599582000251,2.411838531600829,69.95361397029482,United States,2021-02-32,2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0.44873872545205334,1.9642767519460353,105.54450720612644,United States,2021-03-60,3,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0.5564638006631215,1.8517506703311577,85.32006459243051,United States,2021-04-91,4,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0.6169581946128829,1.899539284732792,121.39892598370812,United States,2021-05-121,5,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0.6601936888612667,1.8886685758580979,129.93701810304677,United States,2021-06-152,6,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0.6913307906247038,1.8169981974298468,123.03291753415746,United States,2021-07-182,7,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0.6723580848470602,1.798362362488339,109.36719345311019,United States,2021-08-213,8,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0.6088536838174081,1.9397734753493379,83.11788886093514,United States,2021-09-244,9,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0.5823145661611696,1.8392570125800072,81.58343255744965,United States,2021-10-274,10,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0.5090365109490909,1.8965106538106773,38.80850148887041,United States,2021-11-305,11,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,0.45719634905879625,2.247734228171474,55.44806198498373,United States,2021-12-335,12,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0.42284075753425027,2.2880362681289754,61.53599598979936,United States,2022-01-01,1,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0.39930054661030273,2.3049495332570675,66.56322867735472,United States,2022-02-32,2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0.42582916168943646,2.1341764056495878,82.35615636472474,United States,2022-03-60,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0.52144161059467,2.2081188047678,78.81346017836424,United States,2022-04-91,4,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0.6044331770169803,2.042237523809661,111.47863886544631,United States,2022-05-121,5,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0.6215363684649907,2.1371540538539517,79.1004640076141,United States,2022-06-152,6,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
